time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1644445863.002866,9.298,0.11800000000000001,0.0,0.1,0.0,1.0,0.955,0.9520000000000001,0.95,65.0,73.0,72.0,63.0,
1644445863.2033253,9.729,0.158,0.0,0.1,0.095,0.7,0.65,0.6,0.6,63.0,70.0,70.0,61.0,
1644445863.403769,9.729,0.1,0.0,0.053,0.0,1.0,0.9440000000000001,0.9470000000000001,0.9470000000000001,65.0,72.0,71.0,62.0,
1644445863.6042163,9.729,0.16699999999999998,0.053,0.1,0.0,0.8420000000000001,0.81,0.75,0.789,61.0,68.0,67.0,59.0,
1644445863.804699,9.729,0.2,0.05,0.15,0.0,0.818,0.8,0.8,0.762,64.0,72.0,71.0,62.0,
1644445864.0051417,9.729,0.158,0.053,0.1,0.0,1.0,0.9470000000000001,0.9470000000000001,0.95,65.0,73.0,72.0,63.0,
1644445864.2057288,10.515,0.16699999999999998,0.0,0.14300000000000002,0.0,0.684,0.667,0.6,0.579,62.0,70.0,69.0,61.0,
1644445864.4061782,10.515,0.053,0.05,0.15,0.048,1.0,0.9520000000000001,0.95,0.95,65.0,72.0,71.0,62.0,
1644445864.6067543,10.515,0.21100000000000002,0.05,0.14300000000000002,0.05,0.95,0.9,0.85,0.895,61.0,70.0,68.0,60.0,
1644445864.8072524,10.515,0.2,0.0,0.105,0.0,0.75,0.7140000000000001,0.7,0.667,64.0,71.0,70.0,62.0,
1644445865.0076973,10.515,0.16699999999999998,0.0,0.1,0.048,1.0,0.95,0.9520000000000001,0.9520000000000001,65.0,73.0,72.0,63.0,
1644445865.2081528,9.557,0.25,0.053,0.105,0.0,0.65,0.727,0.636,0.632,61.0,68.0,67.0,59.0,
1644445865.4086058,9.557,0.0,0.0,0.14300000000000002,0.05,1.0,1.0,0.95,0.9520000000000001,65.0,72.0,71.0,62.0,
1644445865.6090512,9.557,0.11800000000000001,0.0,0.053,0.0,1.0,0.905,0.9470000000000001,0.9470000000000001,65.0,73.0,72.0,63.0,
1644445865.8095245,9.557,0.2,0.0,0.15,0.14300000000000002,0.75,0.65,0.632,0.619,64.0,71.0,70.0,61.0,
